# Recording;Frequency in list;Note in list;Error
100.0;97.99885899543732;G2;2.001141004562683
390.0;391.9954359817493;G4;1.9954359817493241
398.5;391.9954359817493;G4;6.504564018250676
383.0;391.9954359817493;G4;8.995435981749324
411.0;415.3046975799451;G4#;4.3046975799451275
141.5;138.59131548843604;C3#;2.908684511563962
151.0;146.83238395870376;D3;4.167616041296242
162.0;164.813778456435;E3;2.8137784564349886
171.5;174.61411571650194;F3;3.114115716501942
91.0;92.4986056779086;F2#;1.4986056779085999
96.5;97.99885899543732;G2;1.4988589954373168
149.0;146.83238395870376;D3;2.1676160412962417
108.5;110.0;A2;1.5
115.0;116.54094037952248;A2#;1.5409403795224819
244.0;246.941650628062;B3;2.941650628062007
260.0;261.6255653005986;C4;1.6255653005986233
137.5;138.59131548843604;C3#;1.091315488436038
219.0;220.0;A3;1.0
154.0;155.56349186104046;D3#;1.5634918610404611
163.5;164.813778456435;E3;1.3137784564349886
173.5;174.61411571650194;F3;1.1141157165019422
183.5;184.9972113558172;F3#;1.4972113558171998
390.0;391.9954359817493;G4;1.9954359817493241
415.5;415.3046975799451;G4#;0.19530242005487253
219.0;220.0;A3;1.0
116.0;116.54094037952248;A2#;0.5409403795224819
122.5;123.470825314031;B2;0.9708253140310035
129.5;130.8127826502993;C3;1.3127826502993116
137.0;138.59131548843604;C3#;1.591315488436038
145.5;146.83238395870376;D3;1.3323839587037583
154.5;155.56349186104046;D3#;1.0634918610404611
492.5;493.88330125612424;B4;1.3833012561242413
174.5;174.61411571650194;F3;0.11411571650194219
368.5;369.9944227116344;F4#;1.4944227116343995
390.5;391.9954359817493;G4;1.4954359817493241
414.0;415.3046975799451;G4#;1.3046975799451275
438.0;440.0;A4;2.0
232.0;233.08188075904496;A3#;1.0818807590449637
492.0;493.88330125612424;B4;1.8833012561242413
261.0;261.6255653005986;C4;0.6255653005986233
552.5;554.3652619537442;C5#;1.8652619537441524
100.0;97.99885899543732;G2;2.001141004562683
309.5;311.1269837220809;D4#;1.6269837220809222
326.5;329.62755691287;E4;3.127556912869977
348.5;349.2282314330039;F4;0.7282314330038844
367.5;369.9944227116344;F4#;2.4944227116343995
389.0;391.9954359817493;G4;2.995435981749324
414.5;415.3046975799451;G4#;0.8046975799451275
438.5;440.0;A4;1.5
928.5;932.3275230361796;A5#;3.8275230361796275
493.0;493.88330125612424;B4;0.8833012561242413
100.0;97.99885899543732;G2;2.001141004562683
552.5;554.3652619537442;C5#;1.8652619537441524
585.5;587.3295358348153;D5;1.8295358348152604
621.5;622.2539674441618;D5#;0.7539674441618445
658.0;659.2551138257397;E5;1.255113825739727
696.5;698.4564628660079;F5;1.9564628660078824
738.0;739.9888454232688;F5#;1.988845423268799
784.0;783.9908719634984;G5;0.009128036501579118
833.5;830.6093951598904;G5#;2.8906048401096314
100.0;97.99885899543732;G2;2.001141004562683
928.5;932.3275230361796;A5#;3.8275230361796275
987.0;987.7666025122485;B5;0.7666025122484825
1046.0;1046.5022612023945;C6;0.502261202394493
1106.5;1108.7305239074883;C6#;2.2305239074883048
100.0;97.99885899543732;G2;2.001141004562683
1254.5;1244.5079348883237;D6#;9.992065111676311
1325.5;1318.5102276514795;E6;6.989772348520546
1402.0;1396.9129257320158;F6;5.087074267984235
1484.0;1479.9776908465376;F6#;4.022309153462402
100.0;97.99885899543732;G2;2.001141004562683
1669.0;1661.2187903197807;G6#;7.781209680219263
100.0;97.99885899543732;G2;2.001141004562683
1869.0;1864.6550460723593;A6#;4.344953927640745
100.0;97.99885899543732;G2;2.001141004562683
100.0;97.99885899543732;G2;2.001141004562683
2204.5;2217.4610478149766;C7#;12.96104781497661
2361.5;2349.318143339261;D7;12.181856660738958
100.0;97.99885899543732;G2;2.001141004562683
100.0;97.99885899543732;G2;2.001141004562683
100.0;97.99885899543732;G2;2.001141004562683
100.0;97.99885899543732;G2;2.001141004562683
100.0;97.99885899543732;G2;2.001141004562683
100.0;97.99885899543732;G2;2.001141004562683
100.0;97.99885899543732;G2;2.001141004562683
100.0;97.99885899543732;G2;2.001141004562683
100.0;97.99885899543732;G2;2.001141004562683
100.0;97.99885899543732;G2;2.001141004562683
